2023-05-01 21:16:12 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2023-05-01 21:16:12 0 [Note] InnoDB: Uses event mutexes
2023-05-01 21:16:12 0 [Note] InnoDB: Compressed tables use zlib 1.2.11
2023-05-01 21:16:12 0 [Note] InnoDB: Number of pools: 1
2023-05-01 21:16:12 0 [Note] InnoDB: Using SSE2 crc32 instructions
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=367] with future log sequence number 2132308
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=229] with future log sequence number 2132264
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=366] with future log sequence number 2132264
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=228] with future log sequence number 2132220
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=365] with future log sequence number 2132220
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=227] with future log sequence number 2132176
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=364] with future log sequence number 2132176
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=226] with future log sequence number 2132132
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=363] with future log sequence number 2132132
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=225] with future log sequence number 2132088
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=362] with future log sequence number 2132088
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=224] with future log sequence number 2132044
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=361] with future log sequence number 2132044
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=223] with future log sequence number 2132000
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=360] with future log sequence number 2132000
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=222] with future log sequence number 2131940
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=359] with future log sequence number 2131940
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=220] with future log sequence number 2131896
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=357] with future log sequence number 2131896
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=219] with future log sequence number 2131852
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=356] with future log sequence number 2131852
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=218] with future log sequence number 2131808
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=355] with future log sequence number 2131808
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=217] with future log sequence number 2131764
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=354] with future log sequence number 2131764
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=216] with future log sequence number 2131720
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=353] with future log sequence number 2131720
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=215] with future log sequence number 2131676
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=352] with future log sequence number 2131676
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=214] with future log sequence number 2131632
2023-05-01 21:16:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=351] with future log sequence number 2131632
